"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Sep 05 02:18:29 GMT 2023","Tue Sep 05 02:18:56 GMT 2023","27481","","Activity Panel and Notes","","Activity Panel and Notes","TC285- Verify that count of activity gets updated on changing status of an email","TC285- Verify that count of activity gets updated on changing status of an email",""
"passed","Tue Sep 05 02:06:45 GMT 2023","Tue Sep 05 02:07:09 GMT 2023","24259","","Quoted Text","","Quoted Text","TC564 - To verify ""Hide Quoted Text"" and ""Remove"" link is visible when user has expanded the quoted text in compose screen.","TC564 - To verify ""Hide Quoted Text"" and ""Remove"" link is visible when user has expanded the quoted text in compose screen.",""
"passed","Tue Sep 05 01:42:37 GMT 2023","Tue Sep 05 01:43:22 GMT 2023","44332","","leftAndRightPanel","","leftAndRightPanel","TC748 - Verify that after sending an email through compose, user should be landed back to preserved SM-View state with the sending toast & sent toast.","TC748 - Verify that after sending an email through compose, user should be landed back to preserved SM-View state with the sending toast & sent toast.",""
"passed","Tue Sep 05 01:40:57 GMT 2023","Tue Sep 05 01:41:30 GMT 2023","33630","","leftAndRightPanel","","leftAndRightPanel","TC743 - Verify user should be able to add Subject, To, Cc, Bcc fields","TC743 - Verify user should be able to add Subject, To, Cc, Bcc fields",""
"passed","Tue Sep 05 01:47:07 GMT 2023","Tue Sep 05 01:47:35 GMT 2023","27642","","Inbox Suite","","Inbox Suite","TC653 - To  verify user is able to switch between header tabs in the search screen.","TC653 - To  verify user is able to switch between header tabs in the search screen.",""
"broken","Tue Sep 05 02:13:40 GMT 2023","Tue Sep 05 02:14:21 GMT 2023","40523","","Activity Panel and Notes","","Activity Panel and Notes","TC30- Verify that the count of all activities/notes is shown on the conversation footer and in Activities Panel","TC30- Verify that the count of all activities/notes is shown on the conversation footer and in Activities Panel",""
"passed","Tue Sep 05 01:43:39 GMT 2023","Tue Sep 05 01:44:27 GMT 2023","48226","","Inbox Suite","","Inbox Suite","TC633 - To verify users are able to switch between the categories present for ""Gmail Inbox""","TC633 - To verify users are able to switch between the categories present for ""Gmail Inbox""",""
"passed","Tue Sep 05 01:42:12 GMT 2023","Tue Sep 05 01:42:37 GMT 2023","25171","","leftAndRightPanel","","leftAndRightPanel","TC746 - Verify that users are able to insert email templates (To be executed after email templates are developed for Mobile )","TC746 - Verify that users are able to insert email templates (To be executed after email templates are developed for Mobile )",""
"passed","Tue Sep 05 02:03:22 GMT 2023","Tue Sep 05 02:03:47 GMT 2023","25053","","Email Templates","","Email Templates","TC331 - To verify if user is able to preview email templates."".","TC331 - To verify if user is able to preview email templates."".",""
"passed","Tue Sep 05 01:35:24 GMT 2023","Tue Sep 05 01:35:55 GMT 2023","30742","","Permalinks","","Permalinks","TC705 - To verify user is able to send a ""Private Permalink"" as reply/forward from compose section of conversation.","TC705 - To verify user is able to send a ""Private Permalink"" as reply/forward from compose section of conversation.",""
